Nom,Arborescence,Couleurs disponibles,Prix,Description,Volume,Dimensions
GGU 1500 Premium,Appareils professionnels/Merchandising/Congélateurs encastrables sous plan/GGU 1500,None,€ 1.050,"Le congélateur Liebherr GGU 1500 est un modèle de table avec température réglable en continu jusqu'à -26 °C. Les 3 paniers coulissants offrent une hauteur utilisable de 15 cm, le panier plus court du bas a une hauteur de 17 cm. Grâce à l'affichage digital de la température, vous êtes toujours informé du degré de froid.",143 l,"H 83 x L 60 x D 61,5 cm"
GGU 1550 Premium,Appareils professionnels/Merchandising/Congélateurs encastrables sous plan/GGU 1550,None,€ 1.100,"Le congélateur Liebherr GGU 1550 est un modèle de table en acier inoxydable avec température réglable en continu jusqu'à -26 °C. Les 3 paniers coulissants offrent une hauteur utilisable de 15 cm, le panier plus court du bas a une hauteur de 17 cm. Grâce à l'affichage digital de la température, vous êtes toujours informé du degré de froid.",143 l,"H 83 x L 60 x D 61,5 cm"
FRFBvg 5501 Perfection,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFBvg 5501,None,€ 2.195,"La poignée fine permet d'accéder à l'intérieur facile à nettoyer de cette glacière BlackSteel. Avec un angle d'ouverture de 90°, la porte à fermeture automatique reste ouverte pour faciliter le chargement et le déchargement. L'alarme lumineuse avertit lorsque la porte est ouverte trop longtemps et l'éclairage LED assure une visibilité optimale des produits stockés. L'appareil peut être utilisé de manière logique grâce à l'écran tactile numérique. L'humidité est contrôlée par l'HumidityControl et le refroidissement dynamique assure une température homogène dans la glacière, ce qui permet de tro",571 l,"H 181,8 x L 74,7 x D 76,9 cm"
FRFCvg 4001 Perfection,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFCvg 4001,None,€ 1.750,"La poignée fine permet d'accéder à l'intérieur facile à nettoyer de ce réfrigérateur en acier inoxydable. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. La LightAlarm avertit lorsque la porte est ouverte trop longtemps et l'éclairage LED assure une visibilité optimale des produits stockés. L'écran tactile réglable en plusieurs langues est intuitif. L'HumidityControl se charge d'obtenir le taux d'humidité souhaité et le refroidissement dynamique assure une température homogène dans l'appareil.",420 l,"H 188,4 x L 59,7 x D 65,4 cm"
FRFCvg 5501 Perfection,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFCvg 5501,None,€ 1.900,"La poignée fine permet d'accéder à l'intérieur facile à nettoyer de ce réfrigérateur en acier inoxydable. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. La LightAlarm avertit lorsque la porte est ouverte trop longtemps et l'éclairage LED assure une visibilité optimale des produits stockés. L'écran tactile réglable en plusieurs langues est intuitif. L'HumidityControl se charge d'obtenir le taux d'humidité souhaité et le refroidissement dynamique assure une température homogène dans l'appareil.",571 l,"H 181,8 x L 74,7 x D 76,9 cm"
FRFCvg 5511 Perfection,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFCvg 5511,"Acier inox, Acier inox, Blanc",€ 2.200,"La poignée fine permet d'accéder à l'intérieur facile à nettoyer de ce réfrigérateur en acier inoxydable. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. La LightAlarm avertit lorsque la porte est ouverte trop longtemps et l'éclairage LED assure une visibilité optimale des produits stockés. L'écran tactile réglable en plusieurs langues est intuitif. L'HumidityControl se charge d'obtenir le taux d'humidité souhaité et le refroidissement dynamique assure une température homogène dans l'appareil.",600 l,"H 181,8 x L 74,7 x D 76,9 cm"
FRFCvg 6511 Perfection,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFCvg 6511,None,€ 2.300,"La poignée fine permet d'accéder à l'intérieur facile à nettoyer de ce réfrigérateur en acier inoxydable. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. La LightAlarm avertit lorsque la porte est ouverte trop longtemps et l'éclairage LED assure une visibilité optimale des produits stockés. L'écran tactile réglable en plusieurs langues est intuitif. L'HumidityControl se charge d'obtenir le taux d'humidité souhaité et le refroidissement dynamique assure une température homogène dans l'appareil.",688 l,"H 201,8 x L 74,7 x D 76,9 cm"
FRFvg 4001 Performance,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFvg 4001,None,€ 1.600,,420 l,"H 188,4 x L 59,7 x D 65,4 cm"
FRFvg 5501 Performance,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/FRFvg 5501,None,€ 1.700,"Le modèle Liebherr FRFvg 5501 offre une réfrigération dynamique avec intérieur gastronorme 2/1. La température est réglable entre +1 °C et + 15 °C. Finition avec porte à fermeture automatique, verrou, alarme de température, pieds réglables et 5 grilles réglables. Peut être livré avec roulettes pivotantes au lieu de pieds réglables.",571 l,"H 181,8 x L 74,7 x D 76,9 cm"
GKPv 1470 ProfiLine,Appareils professionnels/Gastronomie/Réfrigérateurs pour la gastronomie/GKPv 1470,None,€ 5.800,Le modèle Liebherr GKPv 1470 avec intérieur GN 2/1 offre une capacité de réfrigération de plus de 1300 litres. La plage de température est réglable au degré près entre -2 °C et +15 °C. L'armoire tout en acier inoxydable se nettoie facilement grâce aux nervures préformées dans la cuve intérieure.,1361 l,H 212 x L 143 x D 83 cm
