Nom,Arborescence,Couleurs disponibles,Prix,Description,Volume,Dimensions
MKUv 1613/H63 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/MKUv 1613/H63,None,€ 3.300,Le réfrigérateur médical Liebherr MKUv 1613 offre une capacité de réfrigération avec une plage de température de +5°C ( ± 3K). La porte à fermeture automatique est pourvue d'un verre isolant et l'éclairage de plafond LED est commutable séparément. Le modèle est livré en standard avec 3 tiroirs AluCool avec compartiment diviseur pratique.,152 l,"H 82 x L 60,1 x D 61,8 cm"
LCexv 4010 MediLine,Appareils professionnels/Laboratoire/Combinés de laboratoire/LCexv 4010,None,€ 3.300,"Le modèle Liebherr LCexv 4010 est antidéflagrant (zone 2) et combine la réfrigération et la congélation en un appareil compact, avec réglage complètement distinct. Diverses alarmes et des contacts libres de potentiel pour raccordement à un système d'alarme central sont disponibles.",361 l,"H 200,3 x L 60,1 x D 61,8 cm"
LCv 4010 MediLine,Appareils professionnels/Laboratoire/Combinés de laboratoire/LCv 4010,None,€ 3.200,"Le modèle Liebherr LCv 4010 MediLine combine la réfrigération et la congélation en un appareil compact. Leur commande est tout à fait distincte et la température peut être réglée avec une précision de 0,1 °C. Diverses alarmes et des raccordements à un système central de connexion et d'alarme sont disponibles.",361 l,"H 200,3 x L 60,1 x D 61,8 cm"
LGPv 1420 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 1420,None,€ 8.500,"Le modèle Liebherr LGPv 1420 offre une capacité de congélation de plus de 1400 litres pour un usage médical et de laboratoire. La plage de température se situe entre -10 °C et -26 °C, l'affichage digital est précis au 0,1 °C près. L'appareil dispose de différentes alarmes et la date, l'heure et la température sont enregistrées toutes les 4 minutes.",1366 l,H 216 x L 143 x D 83 cm
LGPv 6520 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 6520,None,€ 6.400,"Le modèle Liebherr LGPv 6520 offre une capacité de congélation de plus de 600 litres pour un usage médical et de laboratoire. La plage de température se situe entre -10 °C et -35 °C, l'affichage digital est précis au 0,1 °C près. L'appareil dispose de différentes alarmes et la date, l'heure et la température sont enregistrées toutes les 4 minutes.",602 l,H 216 x L 70 x D 83 cm
LGPv 6527 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 6527,None,€ 6.800,"Le Liebherr LGPv 6527 offre 464 litres d'espace de congélation net accessible via deux portes séparées. En plaçant les produits fréquemment utilisés en haut et les produits moins fréquemment requis en bas de l'appareil, une précieuse économie d'énergie est réalisée. L'armoire dispose également du dégivrage automatique et d'un système d'alarme complet.",598 l,H 216 x L 70 x D 83 cm
LGPv 8420 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 8420,None,€ 7.300,"Le modèle Liebherr LGPv 8420 offre une grande capacité de congélation de 850 litres pour un usage médical et de laboratoire. La plage de température est réglable entre -10 °C et -35 °C, l'affichage digital est sur 0,1 °C précis. L'équipement dispose de différentes alarmes et la date, l'heure et la température sont enregistrées toutes les 4 minutes.",855 l,H 216 x L 79 x D 98 cm
LGUex 1500 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGUex 1500,None,€ 1.800,"Le modèle Liebherr LGUex 1500 avec cuve intérieure antidéflagrante offre une capacité de congélation de 139 litres, avec une plage de température de -9 °C à -26 °C. Exécution avec double alarme et contact libre de potentiel, les températures les plus élevées et les plus basses sont à lire sur l'affichage pendant un maximum de 40 jours.",139 l,"H 82 x L 60,1 x D 61,8 cm"
LGv 5010 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGv 5010,None,€ 3.500,"Le Liebherr LGv 5010 offre plus de 337 litres d'espace de congélation pour un usage médical et de laboratoire. La plage de température s'étend de -9 °C à -35 °C, l'affichage digital est précis à 0,1 °C près. L'armoire dispose de divers systèmes d'alarme et d'un système de dégivrage automatique (NoFrost).",478 l,"H 184,4 x L 75,1 x D 75 cm"
SFFfg 4001 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 4001,None,€ 2.600,,316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFfg 4001/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 4001/740,None,€ 3.000,"Ce congélateur à tiroirs ergonomique convient au stockage de substances inflammables dans des récipients fermés et produit moins de givre grâce au système SmartFrost, ce qui facilite le dégivrage et le rend moins fréquent. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours.",316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFfg 5501 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 5501,None,€ 3.000,"Adapté au stockage de substances inflammables dans des récipients fermés, ce congélateur peu énergivore produit moins de givre grâce au système SmartFrost, ce qui facilite les dégivrages et les rend moins fréquents. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours.",499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFfg 5501/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 5501/740,None,€ 3.600,,499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFsg 4001 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 4001,None,€ 2.500,,316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFsg 4001/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 4001/740,None,€ 2.900,"Ce congélateur à tiroirs ergonomique produit moins de givre grâce au système SmartFrost, ce qui facilite les dégivrages et les rend moins fréquents. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. L'éclairage LED au plafond permet de toujours bien voir les substances stockées.",316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFsg 5501 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 5501,None,€ 3.000,"Ce congélateur peu énergivore produit moins de givre grâce au système SmartFrost, ce qui facilite les dégivrages et les rend moins fréquents. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. L'éclairage LED au plafond permet de toujours bien voir les substances stockées.",499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFsg 5501/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 5501/740,None,€ 3.500,,499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFvh 5501 Perfection,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFvh 5501,None,€ 3.700,"Grâce à la technologie NoFrost, fini le dégivrage. L'écran couleur de 2,2 pouces (12 langues) peut également être utilisé avec des gants. Ce modèle est équipé d'une serrure électronique avec un code PIN à 4 chiffres qui peut être défini par équipe. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Une interface USB permet de lire les données stockées dans l'appareil. Ce modèle est certifié DIN 13277.",472 l,"H 179,3 x L 74,7 x D 76,9 cm"
EFE 1152,Appareils professionnels/Conservateurs de crème glacée/EFE 1152,None,€ 900,"Le modèle Liebherr EFE 1152 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 75,1 x D 46,1 cm"
EFE 1552,Appareils professionnels/Conservateurs de crème glacée/EFE 1552,None,€ 1.000,"Le modèle Liebherr EFE 1552 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 62,5 x D 66,1 cm"
EFE 2200,Appareils professionnels/Conservateurs de crème glacée/EFE 2200,None,€ 1.000,"Le modèle Liebherr EFE 2200 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. Offre toujours un accès rapide à l'aide des couvercles coulissants en aluminium et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",213 l,"H 84 x L 83,5 x D 66,1 cm"
EFE 2252,Appareils professionnels/Conservateurs de crème glacée/EFE 2252,None,€ 1.100,"Le modèle Liebherr EFE 2252 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 83,5 x D 66,1 cm"
EFE 3000,Appareils professionnels/Conservateurs de crème glacée/EFE 3000,None,€ 1.050,"Le modèle Liebherr EFE 3000 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. Offre toujours un accès rapide à l'aide des couvercles coulissants en aluminium et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 84 x L 104,5 x D 66,1 cm"
EFE 3052,Appareils professionnels/Conservateurs de crème glacée/EFE 3052,None,€ 1.250,"Le modèle Liebherr EFE 3052 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 104,5 x D 66,1 cm"
EFE 3800,Appareils professionnels/Conservateurs de crème glacée/EFE 3800,None,€ 1.350,"Le modèle Liebherr EFE 3800 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. Offre toujours un accès rapide à l'aide des couvercles coulissants en aluminium et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 84 x L 125,5 x D 66,1 cm"
EFE 3852,Appareils professionnels/Conservateurs de crème glacée/EFE 3852,None,€ 1.450,"Le modèle Liebherr EFE 3852 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 125,5 x D 66,1 cm"
EFE 4600,Appareils professionnels/Conservateurs de crème glacée/EFE 4600,None,€ 1.450,"Le modèle Liebherr EFE 4600 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. Offre toujours un accès rapide à l'aide des couvercles coulissants en aluminium et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 84 x L 146,5 x D 66,1 cm"
EFE 4652,Appareils professionnels/Conservateurs de crème glacée/EFE 4652,None,€ 1.550,"Le modèle Liebherr EFE 4652 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 146,5 x D 66,1 cm"
EFE 5100,Appareils professionnels/Conservateurs de crème glacée/EFE 5100,None,€ 1.550,"Le modèle Liebherr EFE 5100 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. Offre toujours un accès rapide à l'aide des couvercles coulissants en aluminium et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 84 x L 167,5 x D 66,1 cm"
EFE 5152,Appareils professionnels/Conservateurs de crème glacée/EFE 5152,None,€ 1.650,"Le modèle Liebherr EFE 5152 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 167,5 x D 66,1 cm"
EFE 6052,Appareils professionnels/Conservateurs de crème glacée/EFE 6052,None,€ 1.850,"Le modèle Liebherr EFE 6052 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 188,5 x D 66,1 cm"
EFI 1453,Appareils professionnels/Conservateurs de crème glacée/EFI 1453,None,€ 1.150,"Le modèle Liebherr EFI 1453 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",138 l,"H 82,5 x L 62,5 x D 66,1 cm"
EFI 2153,Appareils professionnels/Conservateurs de crème glacée/EFI 2153,None,€ 1.200,"Le modèle Liebherr EFI 2153 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",211 l,"H 82,5 x L 83,5 x D 66,1 cm"
EFI 2853,Appareils professionnels/Conservateurs de crème glacée/EFI 2853,None,€ 1.300,"Le modèle Liebherr EFI 2853 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",282 l,"H 82,5 x L 104,5 x D 66,1 cm"
EFI 3553,Appareils professionnels/Conservateurs de crème glacée/EFI 3553,None,€ 1.450,"Le modèle Liebherr EFI 3553 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",355 l,"H 82,5 x L 125,5 x D 66,1 cm"
EFI 4453,Appareils professionnels/Conservateurs de crème glacée/EFI 4453,None,€ 1.550,"Le modèle Liebherr EFI 4453 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",426 l,"H 82,5 x L 146,5 x D 66,1 cm"
EFI 4853,Appareils professionnels/Conservateurs de crème glacée/EFI 4853,None,€ 1.800,"Le modèle Liebherr EFI 4853 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",499 l,"H 82,5 x L 167,5 x D 66,1 cm"
EFI 5653,Appareils professionnels/Conservateurs de crème glacée/EFI 5653,None,€ 1.900,"Le modèle Liebherr EFI 5653 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C et un éclairage LED sur toute la largeur intérieure. Toujours un bon aperçu et un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",571 l,"H 82,5 x L 188,5 x D 66,1 cm"
BKPv 6570 ProfiLine,Appareils professionnels/Boulangerie/Réfrigérateurs boulangerie/BKPv 6570,"Acier inox, Blanc",€ 4.000,"Le modèle Liebherr BKPv 6570 est un réfrigérateur de boulangerie en acier inoxydable avec intérieur en acier nickel chrome de 40x60 cm selon la norme de boulangerie. La plage de température est à réglage graduel digital de -5 °C à +15 °C et l'hygrométrie peut se régler au choix sur haut, moyen ou bas.",602 l,H 212 x L 70 x D 83 cm
BKPv 8470 ProfiLine,Appareils professionnels/Boulangerie/Réfrigérateurs boulangerie/BKPv 8470,"Acier inox, Blanc",€ 5.200,"Le modèle Liebherr BKPv 8470 est un réfrigérateur de boulangerie en acier inoxydable avec intérieur en acier nickel chrome de 60x80 cm selon la norme de boulangerie. La plage de température est à réglage graduel digital de -5 °C à +15 °C et l'hygrométrie peut se régler au choix sur haut, moyen ou bas.",856 l,H 212 x L 79 x D 98 cm
BRFvg 5501 Performance,Appareils professionnels/Boulangerie/Réfrigérateurs boulangerie/BRFvg 5501,None,€ 2.000,"L'écran tactile est facile à utiliser. Il permet de consulter toutes les informations importantes et de voir immédiatement l'état du réfrigérateur. L'intérieur en acier inoxydable, spécialement conçu pour accueillir 10 plaques de cuisson Euronorm, est facile à nettoyer. L'humidité peut être réglée sur 3 niveaux (faible, moyenne, élevée) pour créer des conditions de conservation idéales. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement, et un rappel permet de ne pas oublier de nettoyer régulièrement l'appareil. La serrure est de série.",496 l,"H 168,4 x L 74,7 x D 76,9 cm"
BRFvg 5511 Performance,Appareils professionnels/Boulangerie/Réfrigérateurs boulangerie/BRFvg 5511,None,€ 2.200,"L'écran tactile est facile à utiliser. Il permet de consulter toutes les informations importantes et de voir immédiatement l'état du réfrigérateur. L'intérieur en acier inoxydable, spécialement conçu pour accueillir 10 plaques de cuisson Euronorm, est facile à nettoyer. L'humidité peut être réglée sur 3 niveaux (faible, moyenne, élevée) pour créer des conditions de conservation idéales. À un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement, et un rappel permet de ne pas oublier de nettoyer régulièrement l'appareil.",533 l,"H 168,4 x L 74,7 x D 76,9 cm"
BFFsg 5501 Performance,Appareils professionnels/Boulangerie/Congélateurs boulangerie/BFFsg 5501,None,€ 2.300,"L'intérieur en polystyrène est facile à nettoyer et offre suffisamment d'espace pour stocker les aliments. Jusqu'à 10 plaques de cuisson Euronorm peuvent être glissées sans problème dans le congélateur. L'écran tactile réglable en plusieurs langues est intuitif. Avec un angle d'ouverture de 90°, la porte reste ouverte pour faciliter le chargement et le déchargement. Un timer rappelle quand le prochain nettoyage doit être effectué. Des roues pivotantes ou des pieds réglables sont disponibles en option.",496 l,"H 168,3 x L 74,7 x D 76,9 cm"
BGPv 6570 ProfiLine,Appareils professionnels/Boulangerie/Congélateurs boulangerie/BGPv 6570,"Acier inox, Blanc",€ 4.700,Le modèle Liebherr BGPv 6570 est un congélateur de boulangerie avec intérieur en acier nickel chrome de 40x60 cm selon la norme de boulangerie. La plage de température est à réglage graduel digital de -10 °C à -35 °C et l'armoire est équipée de 20 supports de plaque réglables.,602 l,H 212 x L 70 x D 83 cm
BGPv 8470 ProfiLine,Appareils professionnels/Boulangerie/Congélateurs boulangerie/BGPv 8470,"Acier inox, Blanc",€ 5.800,Le modèle Liebherr BGPv 8470 est un congélateur de boulangerie avec intérieur en acier nickel chrome de 60x80 cm selon la norme de boulangerie. La plage de température est à réglage graduel digital de -10 °C à -35 °C et l'armoire est équipée de 25 supports de plaque réglables.,856 l,H 212 x L 79 x D 98 cm
